customer_id,name,ssn,occupation,snapshot_date,age
cus_0x1000,alistair barrf,913-74-1218,lawyer,2023-05-01,18.0
cus_0x1009,arunah,063-67-6938,mechanic,2025-01-01,26.0
cus_0x100b,shirboni,unknown,media_manager,2024-03-01,19.0
cus_0x1011,schneyerh,793-05-8223,doctor,2023-11-01,44.0
cus_0x1013,cameront,930-49-9615,mechanic,2023-12-01,44.0
cus_0x1015,holtono,810-97-7024,journalist,2023-08-01,27.0
cus_0x1018,felsenthalq,731-19-8119,accountant,2023-11-01,15.0
cus_0x1026,josephv,500-62-9044,manager,2023-10-01,52.0
cus_0x102d,neil chatterjeex,692-71-7552,entrepreneur,2024-01-01,31.0
cus_0x102e,rhysn,unknown,scientist,2024-04-01,26.0
cus_0x1032,wahbap,620-58-8045,lawyer,2023-08-01,40.0
cus_0x1037,matthewm,230-22-9583,accountant,2023-01-01,45.0
cus_0x1038,b.h,355-00-7832,architect,2024-10-01,28.0
cus_0x103e,tim kellyf,155-72-8070,scientist,2024-12-01,40.0
cus_0x1041,jonathan stempela,675-80-2033,teacher,2023-11-01,15.0
cus_0x1044,maki shirakip,unknown,_______,2023-06-01,44.0
cus_0x1048,janet mcgurtyg,808-81-2470,accountant,2024-02-01,27.0
cus_0x104a,leahk,unknown,mechanic,2023-12-01,37.0
cus_0x104e,kentaros,837-93-5062,teacher,2023-06-01,50.0
cus_0x104f,markm,264-84-8069,_______,2024-10-01,20.0
cus_0x1051,lucia mutikanin,232-33-7638,engineer,2024-01-01,42.0
cus_0x1056,hornbyb,081-93-4350,entrepreneur,2023-04-01,44.0
cus_0x1057,david sheppardv,741-07-3912,writer,2023-09-01,46.0
cus_0x105b,patricia zengerlel,unknown,accountant,2023-11-01,24.0
cus_0x105c,lopezz,998-18-7252,journalist,2023-06-01,33.0
cus_0x1063,sylvia westallq,883-38-8680,architect,2023-12-01,20.0
cus_0x1069,andreas cremero,761-27-5143,accountant,2023-01-01,32.0
cus_0x106f,alwyn scottk,517-96-1022,developer,2023-08-01,55.0
cus_0x1075,dorfmanv,225-94-8383,manager,2024-05-01,39.0
cus_0x107c,karenh,712-17-7369,journalist,2023-11-01,15.0
cus_0x107e,lianaj,463-69-6790,architect,2024-11-01,15.0
cus_0x1087,alistairy,620-14-7570,doctor,2024-09-01,51.0
cus_0x108a,silvial,394-00-8142,journalist,2023-05-01,38.0
cus_0x1096,edward krudyk,228-65-4194,lawyer,2024-03-01,43.0
cus_0x1098,krudyz,466-10-5742,_______,2025-01-01,23.0
cus_0x109b,gillesy,661-04-3699,manager,2023-10-01,55.0
cus_0x109d,langep,260-21-1290,writer,2024-04-01,45.0
cus_0x109f,vellacottj,283-32-0255,teacher,2025-01-01,41.0
cus_0x10a9,ini kristenr,514-08-4156,journalist,2024-10-01,41.0
cus_0x10aa,carey gillama,101-00-4424,musician,2023-02-01,20.0
cus_0x10ac,zhouy,780-50-4730,developer,2024-08-01,29.0
cus_0x10b3,johnsona,293-45-3004,mechanic,2024-11-01,48.0
cus_0x10b6,gillesw,439-76-5364,journalist,2025-01-01,49.0
cus_0x10bb,chyenf,075-30-4340,journalist,2023-03-01,35.0
cus_0x10c0,scheyderx,658-53-1756,architect,2024-02-01,39.0
cus_0x10c5,moony,041-74-6785,_______,2024-08-01,24.0
cus_0x10d7,sinead carewm,289-56-9714,developer,2023-12-01,39.0
cus_0x10dd,praveen menonq,907-60-4113,teacher,2024-06-01,25.0
cus_0x10df,paritosh bansalo,279-20-3097,musician,2024-11-01,27.0
cus_0x10e2,sonalio,168-78-3262,media_manager,2025-01-01,37.0
cus_0x10e7,carewj,094-89-6380,_______,2024-11-01,33.0
cus_0x10eb,yaob,unknown,journalist,2023-03-01,51.0
cus_0x10ee,hudsonb,699-80-2426,journalist,2023-06-01,30.0
cus_0x10f9,gilles guillaumev,746-79-6875,_______,2023-05-01,54.0
cus_0x10fd,hendersonu,119-33-7350,developer,2023-12-01,29.0
cus_0x10ff,murait,149-03-5931,accountant,2023-10-01,36.0
cus_0x1100,kaorif,545-19-6617,accountant,2023-10-01,22.0
cus_0x1107,felsenthalv,118-70-6277,writer,2023-11-01,31.0
cus_0x1108,en klaymano,183-66-5001,accountant,2024-07-01,25.0
cus_0x1109,karen freifeldf,410-39-6091,lawyer,2024-06-01,43.0
cus_0x1119,carlozoy,596-61-5235,entrepreneur,2023-05-01,36.0
cus_0x111b,poornima guptab,880-90-6663,manager,2024-10-01,40.0
cus_0x111c,deepaa,420-66-8144,journalist,2024-03-01,24.0
cus_0x1123,suzannep,917-49-8240,writer,2024-10-01,15.0
cus_0x112d,james daveyt,774-29-5843,accountant,2024-03-01,22.0
cus_0x112e,sanog,981-03-7949,mechanic,2024-04-01,32.0
cus_0x112f,ju-minv,294-20-6562,mechanic,2023-10-01,21.0
cus_0x1130,elizabethr,846-60-3664,_______,2023-07-01,37.0
cus_0x1132,jonathano,152-95-7926,mechanic,2023-03-01,39.0
cus_0x1134,stt,unknown,doctor,2023-10-01,49.0
cus_0x1135,baertleinc,897-95-1425,journalist,2023-03-01,22.0
cus_0x1136,stevenk,894-06-9872,entrepreneur,2023-06-01,22.0
cus_0x1138,prodhanx,832-92-6672,lawyer,2024-09-01,44.0
cus_0x1139,copleyp,952-67-5462,scientist,2023-12-01,32.0
cus_0x113e,ransdell piersono,542-14-0249,manager,2023-02-01,45.0
cus_0x1140,jennifer sabal,141-17-2233,accountant,2023-02-01,31.0
cus_0x1144,douwet,720-70-0565,doctor,2024-11-01,42.0
cus_0x1145,blenkinsopr,426-31-9194,teacher,2024-08-01,24.0
cus_0x114a,valetkevitchu,133-89-5234,developer,2023-01-01,43.0
cus_0x114b,hephero,978-19-7269,entrepreneur,2025-01-01,37.0
cus_0x1151,hopkinsv,587-07-3210,journalist,2024-10-01,41.0
cus_0x1152,gellerv,330-02-2598,accountant,2024-11-01,29.0
cus_0x1154,jessica wohlp,848-35-0776,developer,2023-06-01,41.0
cus_0x1155,wohld,189-76-0870,developer,2023-02-01,41.0
cus_0x1156,angela moonq,877-50-9125,entrepreneur,2023-06-01,25.0
cus_0x115c,ryan vlastelicar,956-28-3067,engineer,2024-02-01,20.0
cus_0x1168,philipm,773-33-0379,writer,2023-10-01,42.0
cus_0x1169,janeman latulb,352-87-0792,lawyer,2023-09-01,34.0
cus_0x117d,evat,812-62-8349,media_manager,2023-09-01,24.0
cus_0x117f,kevinj,082-69-3410,scientist,2023-11-01,51.0
cus_0x1182,conor humphriesk,117-62-4809,musician,2023-09-01,24.0
cus_0x1183,barlyna,972-42-3182,_______,2024-04-01,22.0
cus_0x1184,cohenq,963-76-2464,lawyer,2023-01-01,49.0
cus_0x1185,groverj,238-50-2115,accountant,2024-05-01,25.0
cus_0x1190,toonkelc,unknown,media_manager,2024-05-01,45.0
cus_0x1192,paul carrell,880-23-2963,media_manager,2023-05-01,33.0
cus_0x1193,peter lauriap,239-12-4495,developer,2024-10-01,46.0
cus_0x1195,alexk,822-48-3629,manager,2024-12-01,31.0
cus_0x1197,nayako,799-23-8283,_______,2024-12-01,28.0
cus_0x119e,rodrigol,498-27-0676,mechanic,2023-06-01,38.0
