customer_id,name,ssn,occupation,snapshot_date,age
CUS_0x1000,Alistair Barrf,913-74-1218,Lawyer,2023-05-01,18
CUS_0x1009,Arunah,063-67-6938,Mechanic,2025-01-01,26
CUS_0x100b,Shirboni,#F%$D@*&8,Media_Manager,2024-03-01,19
CUS_0x1011,Schneyerh,793-05-8223,Doctor,2023-11-01,44
CUS_0x1013,Cameront,930-49-9615,Mechanic,2023-12-01,44
CUS_0x1015,Holtono,810-97-7024,Journalist,2023-08-01,27
CUS_0x1018,Felsenthalq,731-19-8119,Accountant,2023-11-01,15
CUS_0x1026,Josephv,500-62-9044,Manager,2023-10-01,52
CUS_0x102d,Neil Chatterjeex,692-71-7552,Entrepreneur,2024-01-01,31
CUS_0x102e,Rhysn,#F%$D@*&8,Scientist,2024-04-01,26
CUS_0x1032,Wahbap,620-58-8045,Lawyer,2023-08-01,40
CUS_0x1037,Matthewm,230-22-9583,Accountant,2023-01-01,45
CUS_0x1038,B.h,355-00-7832,Architect,2024-10-01,28
CUS_0x103e,Tim Kellyf,155-72-8070,Scientist,2024-12-01,40
CUS_0x1041,Jonathan Stempela,675-80-2033,Teacher,2023-11-01,15
CUS_0x1044,Maki Shirakip,#F%$D@*&8,_______,2023-06-01,44
CUS_0x1048,Janet McGurtyg,808-81-2470,Accountant,2024-02-01,27
CUS_0x104a,Leahk,#F%$D@*&8,Mechanic,2023-12-01,37
CUS_0x104e,Kentaros,837-93-5062,Teacher,2023-06-01,50
CUS_0x104f,Markm,264-84-8069,_______,2024-10-01,20
CUS_0x1051,Lucia Mutikanin,232-33-7638,Engineer,2024-01-01,42
CUS_0x1056,Hornbyb,081-93-4350,Entrepreneur,2023-04-01,44
CUS_0x1057,David Sheppardv,741-07-3912,Writer,2023-09-01,46
CUS_0x105b,Patricia Zengerlel,#F%$D@*&8,Accountant,2023-11-01,24
CUS_0x105c,Lopezz,998-18-7252,Journalist,2023-06-01,4746
CUS_0x1063,Sylvia Westallq,883-38-8680,Architect,2023-12-01,20
CUS_0x1069,Andreas Cremero,761-27-5143,Accountant,2023-01-01,32
CUS_0x106f,Alwyn Scottk,517-96-1022,Developer,2023-08-01,55
CUS_0x1075,Dorfmanv,225-94-8383,Manager,2024-05-01,39
CUS_0x107c,Karenh,712-17-7369,Journalist,2023-11-01,15
CUS_0x107e,Lianaj,463-69-6790,Architect,2024-11-01,15
CUS_0x1087,Alistairy,620-14-7570,Doctor,2024-09-01,51
CUS_0x108a,Silvial,394-00-8142,Journalist,2023-05-01,38
CUS_0x1096,Edward Krudyk,228-65-4194,Lawyer,2024-03-01,43
CUS_0x1098,Krudyz,466-10-5742,_______,2025-01-01,23
CUS_0x109b,Gillesy,661-04-3699,Manager,2023-10-01,55
CUS_0x109d,Langep,260-21-1290,Writer,2024-04-01,45
CUS_0x109f,Vellacottj,283-32-0255,Teacher,2025-01-01,41
CUS_0x10a9,ini Kristenr,514-08-4156,Journalist,2024-10-01,41
CUS_0x10aa,Carey Gillama,101-00-4424,Musician,2023-02-01,20
CUS_0x10ac,Zhouy,780-50-4730,Developer,2024-08-01,29
CUS_0x10b3,Johnsona,293-45-3004,Mechanic,2024-11-01,48
CUS_0x10b6,Gillesw,439-76-5364,Journalist,2025-01-01,49
CUS_0x10bb,Chyenf,075-30-4340,Journalist,2023-03-01,35
CUS_0x10c0,Scheyderx,658-53-1756,Architect,2024-02-01,39
CUS_0x10c5,Moony,041-74-6785,_______,2024-08-01,24
CUS_0x10d7,Sinead Carewm,289-56-9714,Developer,2023-12-01,39
CUS_0x10dd,Praveen Menonq,907-60-4113,Teacher,2024-06-01,25
CUS_0x10df,Paritosh Bansalo,279-20-3097,Musician,2024-11-01,27
CUS_0x10e2,Sonalio,168-78-3262,Media_Manager,2025-01-01,37
CUS_0x10e7,Carewj,094-89-6380,_______,2024-11-01,3843
CUS_0x10eb,Yaob,#F%$D@*&8,Journalist,2023-03-01,51
CUS_0x10ee,Hudsonb,699-80-2426,Journalist,2023-06-01,30
CUS_0x10f9,Gilles Guillaumev,746-79-6875,_______,2023-05-01,54
CUS_0x10fd,Hendersonu,119-33-7350,Developer,2023-12-01,29
CUS_0x10ff,Murait,149-03-5931,Accountant,2023-10-01,36
CUS_0x1100,Kaorif,545-19-6617,Accountant,2023-10-01,22
CUS_0x1107,Felsenthalv,118-70-6277,Writer,2023-11-01,31
CUS_0x1108,en Klaymano,183-66-5001,Accountant,2024-07-01,25
CUS_0x1109,Karen Freifeldf,410-39-6091,Lawyer,2024-06-01,43
CUS_0x1119,Carlozoy,596-61-5235,Entrepreneur,2023-05-01,36
CUS_0x111b,Poornima Guptab,880-90-6663,Manager,2024-10-01,40
CUS_0x111c,Deepaa,420-66-8144,Journalist,2024-03-01,24
CUS_0x1123,Suzannep,917-49-8240,Writer,2024-10-01,15
CUS_0x112d,James Daveyt,774-29-5843,Accountant,2024-03-01,22
CUS_0x112e,Sanog,981-03-7949,Mechanic,2024-04-01,32
CUS_0x112f,Ju-minv,294-20-6562,Mechanic,2023-10-01,21
CUS_0x1130,Elizabethr,846-60-3664,_______,2023-07-01,37
CUS_0x1132,Jonathano,152-95-7926,Mechanic,2023-03-01,39
CUS_0x1134,Stt,#F%$D@*&8,Doctor,2023-10-01,49
CUS_0x1135,Baertleinc,897-95-1425,Journalist,2023-03-01,22
CUS_0x1136,Stevenk,894-06-9872,Entrepreneur,2023-06-01,22
CUS_0x1138,Prodhanx,832-92-6672,Lawyer,2024-09-01,44
CUS_0x1139,Copleyp,952-67-5462,Scientist,2023-12-01,32
CUS_0x113e,Ransdell Piersono,542-14-0249,Manager,2023-02-01,45
CUS_0x1140,Jennifer Sabal,141-17-2233,Accountant,2023-02-01,31
CUS_0x1144,Douwet,720-70-0565,Doctor,2024-11-01,42
CUS_0x1145,Blenkinsopr,426-31-9194,Teacher,2024-08-01,24
CUS_0x114a,Valetkevitchu,133-89-5234,Developer,2023-01-01,43
CUS_0x114b,Hephero,978-19-7269,Entrepreneur,2025-01-01,37
CUS_0x1151,Hopkinsv,587-07-3210,Journalist,2024-10-01,41
CUS_0x1152,Gellerv,330-02-2598,Accountant,2024-11-01,29
CUS_0x1154,Jessica Wohlp,848-35-0776,Developer,2023-06-01,41
CUS_0x1155,Wohld,189-76-0870,Developer,2023-02-01,41
CUS_0x1156,Angela Moonq,877-50-9125,Entrepreneur,2023-06-01,25
CUS_0x115c,Ryan Vlastelicar,956-28-3067,Engineer,2024-02-01,20
CUS_0x1168,Philipm,773-33-0379,Writer,2023-10-01,42
CUS_0x1169,Janeman Latulb,352-87-0792,Lawyer,2023-09-01,34
CUS_0x117d,Evat,812-62-8349,Media_Manager,2023-09-01,24
CUS_0x117f,Kevinj,082-69-3410,Scientist,2023-11-01,51
